training on CPU
training started
Epoch 1 of 100, loss=0.0524
Epoch 2 of 100, loss=0.0239
Epoch 3 of 100, loss=0.0184
Epoch 4 of 100, loss=0.0157
Epoch 5 of 100, loss=0.014
Epoch 6 of 100, loss=0.0129
Epoch 7 of 100, loss=0.012
Epoch 8 of 100, loss=0.0113
Epoch 9 of 100, loss=0.0109
Epoch 10 of 100, loss=0.0103
Epoch 11 of 100, loss=0.00994
Epoch 12 of 100, loss=0.00966
Epoch 13 of 100, loss=0.00938
Epoch 14 of 100, loss=0.00919
Epoch 15 of 100, loss=0.009
Epoch 16 of 100, loss=0.00883
Epoch 17 of 100, loss=0.00866
Epoch 18 of 100, loss=0.00859
Epoch 19 of 100, loss=0.00846
Epoch 20 of 100, loss=0.0084
Epoch 21 of 100, loss=0.00828
Epoch 22 of 100, loss=0.00818
Epoch 23 of 100, loss=0.00806
Epoch 24 of 100, loss=0.008
Epoch 25 of 100, loss=0.00799
Epoch 26 of 100, loss=0.00793
Epoch 27 of 100, loss=0.00781
Epoch 28 of 100, loss=0.00776
Epoch 29 of 100, loss=0.00776
Epoch 30 of 100, loss=0.00767
Epoch 31 of 100, loss=0.00764
Epoch 32 of 100, loss=0.00757
Epoch 33 of 100, loss=0.00755
Epoch 34 of 100, loss=0.00748
Epoch 35 of 100, loss=0.00744
Epoch 36 of 100, loss=0.0074
Epoch 37 of 100, loss=0.00739
Epoch 38 of 100, loss=0.00741
Epoch 39 of 100, loss=0.00729
Epoch 40 of 100, loss=0.00729
Epoch 41 of 100, loss=0.00727
Epoch 42 of 100, loss=0.00726
Epoch 43 of 100, loss=0.00716
Epoch 44 of 100, loss=0.00711
Epoch 45 of 100, loss=0.00713
Epoch 46 of 100, loss=0.00711
Epoch 47 of 100, loss=0.00708
Epoch 48 of 100, loss=0.00706
Epoch 49 of 100, loss=0.00701
Epoch 50 of 100, loss=0.00698
Epoch 51 of 100, loss=0.00697
Epoch 52 of 100, loss=0.00694
Epoch 53 of 100, loss=0.00697
Epoch 54 of 100, loss=0.00692
Epoch 55 of 100, loss=0.00687
Epoch 56 of 100, loss=0.00686
Epoch 57 of 100, loss=0.00684
Epoch 58 of 100, loss=0.00684
Epoch 59 of 100, loss=0.00681
Epoch 60 of 100, loss=0.00678
Epoch 61 of 100, loss=0.00677
Epoch 62 of 100, loss=0.0068
Epoch 63 of 100, loss=0.00676
Epoch 64 of 100, loss=0.00678
Epoch 65 of 100, loss=0.00671
Epoch 66 of 100, loss=0.00669
Epoch 67 of 100, loss=0.00667
Epoch 68 of 100, loss=0.00666
Epoch 69 of 100, loss=0.00666
Epoch 70 of 100, loss=0.00665
Epoch 71 of 100, loss=0.00661
Epoch 72 of 100, loss=0.0066
Epoch 73 of 100, loss=0.00661
Epoch 74 of 100, loss=0.00657
Epoch 75 of 100, loss=0.00657
Epoch 76 of 100, loss=0.00657
Epoch 77 of 100, loss=0.0065
Epoch 78 of 100, loss=0.00652
Epoch 79 of 100, loss=0.00651
Epoch 80 of 100, loss=0.00651
Epoch 81 of 100, loss=0.00654
Epoch 82 of 100, loss=0.00647
Epoch 83 of 100, loss=0.00645
Epoch 84 of 100, loss=0.00646
Epoch 85 of 100, loss=0.00649
Epoch 86 of 100, loss=0.00641
Epoch 87 of 100, loss=0.00641
Epoch 88 of 100, loss=0.00642
Epoch 89 of 100, loss=0.00638
Epoch 90 of 100, loss=0.00642
Epoch 91 of 100, loss=0.00643
Epoch 92 of 100, loss=0.00642
Epoch 93 of 100, loss=0.00635
Epoch 94 of 100, loss=0.00638
Epoch 95 of 100, loss=0.00635
Epoch 96 of 100, loss=0.00636
Epoch 97 of 100, loss=0.00632
Epoch 98 of 100, loss=0.00632
Epoch 99 of 100, loss=0.0064
Epoch 100 of 100, loss=0.00632
training ended
